epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,5355.15,0.68465,1.07799,1.11212,0.78293,0.76161,0.82696,0.72091,0.53398,0.7831,1.05396,0.005017,0.005017,0.005017
153,5389.47,0.6836,1.07477,1.11136,0.78446,0.76013,0.82705,0.7216,0.53369,0.78218,1.05375,0.004984,0.004984,0.004984
154,5423.87,0.68441,1.0689,1.11132,0.78166,0.76142,0.82719,0.72203,0.53346,0.78128,1.05363,0.004951,0.004951,0.004951
155,5458.27,0.68142,1.06058,1.10697,0.80104,0.74753,0.82728,0.72249,0.53324,0.78046,1.05349,0.004918,0.004918,0.004918
156,5493.18,0.67969,1.0749,1.10864,0.8006,0.74783,0.82767,0.72261,0.53309,0.77979,1.0534,0.004885,0.004885,0.004885
157,5527.66,0.67896,1.05255,1.10825,0.80081,0.74888,0.82808,0.7231,0.53292,0.77884,1.05332,0.004852,0.004852,0.004852
158,5562.13,0.68082,1.06102,1.11058,0.80079,0.74887,0.82845,0.72353,0.53265,0.77817,1.05319,0.004819,0.004819,0.004819
159,5596.26,0.67521,1.05352,1.10781,0.80334,0.74845,0.82864,0.72339,0.53267,0.7777,1.05314,0.004786,0.004786,0.004786
160,5630.51,0.67329,1.0365,1.10375,0.80554,0.74632,0.82908,0.72407,0.53246,0.77681,1.05292,0.004753,0.004753,0.004753
161,5664.67,0.66715,1.03821,1.09916,0.80564,0.74654,0.82948,0.72464,0.53237,0.77592,1.05281,0.00472,0.00472,0.00472
162,5698.8,0.67021,1.0536,1.10339,0.80357,0.74659,0.82946,0.72449,0.5322,0.77519,1.05266,0.004687,0.004687,0.004687
163,5733.41,0.67043,1.03703,1.10313,0.80565,0.74568,0.8296,0.72459,0.53206,0.77434,1.05253,0.004654,0.004654,0.004654
164,5767.49,0.67769,1.03548,1.10953,0.80743,0.74551,0.82995,0.72501,0.53192,0.77384,1.05246,0.004621,0.004621,0.004621
165,5802.02,0.67283,1.04546,1.10275,0.80214,0.74847,0.82972,0.72489,0.53185,0.77359,1.0525,0.004588,0.004588,0.004588
166,5836.03,0.66956,1.0236,1.10096,0.80459,0.74727,0.83018,0.72521,0.53183,0.77285,1.05246,0.004555,0.004555,0.004555
167,5870.75,0.66361,1.02581,1.10029,0.80559,0.74698,0.83048,0.72525,0.53162,0.77265,1.05236,0.004522,0.004522,0.004522
168,5905.01,0.67255,1.02706,1.10237,0.7833,0.76363,0.83048,0.72531,0.53161,0.77219,1.05239,0.004489,0.004489,0.004489
169,5939.38,0.66349,1.02473,1.0994,0.78366,0.76647,0.83055,0.72497,0.53151,0.77166,1.05233,0.004456,0.004456,0.004456
170,5973.77,0.66263,1.01357,1.09635,0.78417,0.76508,0.83068,0.72522,0.53138,0.77146,1.05224,0.004423,0.004423,0.004423
171,6008.01,0.66244,1.01453,1.09662,0.787,0.76505,0.8309,0.72535,0.5314,0.771,1.0523,0.00439,0.00439,0.00439
172,6042.25,0.66318,1.0099,1.09655,0.78836,0.76293,0.83086,0.72555,0.53133,0.77061,1.05227,0.004357,0.004357,0.004357
173,6076.53,0.66403,0.99928,1.09749,0.79056,0.76277,0.83098,0.72562,0.53115,0.77028,1.05221,0.004324,0.004324,0.004324
174,6110.79,0.66251,1.01273,1.09568,0.78927,0.76351,0.83086,0.72547,0.53108,0.76989,1.05211,0.004291,0.004291,0.004291
175,6145.26,0.65903,0.9893,1.09441,0.78772,0.7663,0.83123,0.72606,0.53097,0.76923,1.05208,0.004258,0.004258,0.004258
176,6179.5,0.65504,0.98922,1.0925,0.78881,0.76576,0.83169,0.72641,0.5309,0.76866,1.05204,0.004225,0.004225,0.004225
177,6213.91,0.66431,1.00163,1.10311,0.78738,0.767,0.83167,0.72625,0.53067,0.76782,1.05181,0.004192,0.004192,0.004192
178,6248.48,0.6655,0.99429,1.09995,0.78826,0.76684,0.83186,0.72639,0.53053,0.76735,1.05173,0.004159,0.004159,0.004159
179,6282.74,0.65234,0.96917,1.08956,0.786,0.76723,0.83123,0.72599,0.53061,0.767,1.05183,0.004126,0.004126,0.004126
180,6317.16,0.65835,0.98151,1.09348,0.78572,0.76706,0.83159,0.72659,0.53054,0.76708,1.05181,0.004093,0.004093,0.004093
181,6351.29,0.65681,0.97945,1.09742,0.78253,0.76983,0.83183,0.72711,0.53043,0.76684,1.05167,0.00406,0.00406,0.00406
182,6385.95,0.65091,0.98366,1.09126,0.78108,0.77128,0.8315,0.72702,0.53027,0.76631,1.05155,0.004027,0.004027,0.004027
183,6420.09,0.65111,0.97548,1.09107,0.78132,0.77145,0.83131,0.72673,0.53033,0.76613,1.05171,0.003994,0.003994,0.003994
184,6454.39,0.65347,0.97434,1.0946,0.78278,0.77127,0.83181,0.72727,0.53003,0.76556,1.05128,0.003961,0.003961,0.003961
185,6488.5,0.64984,0.9598,1.08701,0.78129,0.77233,0.8317,0.72758,0.52993,0.76518,1.05114,0.003928,0.003928,0.003928
